TOPE,RFC,NOMBRE,DIRECCION,ADUANA,ESTADO,AGENTE,PEDIMENTO,TIPO_PED,PEDIMEN,FECHA_N,MESA,CV_DOC,DOCUMEN,P_VC,PAISESV,P_OD,PAISO,FRACCION,SEC,CANTIDAD,UNI_MED,UNIDAD,VAL_ADU,VALOR_DLS,VAL_COM,T_C,DESC,PRECIO,PRECIO USD
1,PME140128S96,PEROXYCHEM MEXICO S DE RL DE CV,INDUSTRIA COL. INDUSTRIAL CERRO GORDO SIN NUMERO9 55420 ECATEPEC DE MORELOS EM MEX,240,Nuevo Laredo Tamps.,3878,2017831,1,Normal,29/12/2022,DICE22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,82963.44,1,Kilogramos,435000,22422.68,430902,19.4,AGUA OXIGENADA/ PEROXYDO DE HIDROGENO,5.193878171,0.270271821
1,PMP950301S62,POCHTECA MATERIAS PRIMAS S.A. DE C.V.,,240,Nuevo Laredo Tamps.,3617,2005180,1,Normal,28/05/2022,MAYI22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,46471.086,1,Kilogramos,752116,37985.66,752116,19.8,PEROXIDO DE HIDROGENO,16.18460132,0.817404181
1,CME7712276S6,COLLOIDS DE MEXICO SA DE CV,,240,Nuevo Laredo Tamps.,1620,2000726,1,Normal,03/06/2022,JUNE22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,80333,1,Kilogramos,731708,37142.54,650128,19.7,PEROXIDO DE HIDROGENO AL 50 EKA FG50 USA,8.092913249,0.462357188
1,CME7712276S6,COLLOIDS DE MEXICO SA DE CV,,240,Nuevo Laredo Tamps.,1620,2000796,1,Normal,17/06/2022,JUNE22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,91151,1,Kilogramos,870990,42076.81,785571,20.7,PEROXIDO DE HIDROGENO AL 70 (EKA HP T70) (USA),8.618347577,0.461616548
1,SCJ690102LE4,"SC JOHNSON AND SON, S.A. DE C.V.","PASEO DE LA REFORMA P 10 11 12483 06500 CUAUHTEMOC,CIUDAD DE MEXICO CMXMEX",650,Toluca Mex.,3744,2002860,1,Normal,09/11/2022,NOVIB22,V1,Temporal,MEX,Mexico,USA,USA,2847000100,3,350,1,Kilogramos,6404,328.41,6404,19.5,PEROXIDO DE HIDROGENO EN SOLUCION ACUOSA (332924),18.29714286,0.938314286
1,PME140128S96,PEROXYCHEM MEXICO S DE RL DE CV,INDUSTRIA COL. INDUSTRIAL CERRO GORDO SIN NUMERO9 55420 ECATEPEC DE MORELOS EM MEX,240,Nuevo Laredo Tamps.,3878,2009026,1,Normal,20/06/2022,JUNE22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,91173.6,1,Kilogramos,782747,37997.43,679196,20.6,AGUA OXIGENADA/PEROXIDO DE HIDROGENO,7.44948099,0.416759128
1,PMP950301S62,POCHTECA MATERIAS PRIMAS S.A. DE C.V.,,240,Nuevo Laredo Tamps.,3617,2000267,1,Normal,07/01/2022,ene-22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,64306.808,1,Kilogramos,1128083,55298.19,1128083,20.4,PEROXIDO DE HIDROGENO,17.54220175,0.859911909
1,PME140128S96,PEROXYCHEM MEXICO S DE RL DE CV,INDUSTRIA COL. INDUSTRIAL CERRO GORDO SIN NUMERO9 55420 ECATEPEC DE MORELOS EM MEX,240,Nuevo Laredo Tamps.,3878,2017815,1,Normal,22/12/2022,DICE22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,90809.119,1,Kilogramos,1373203,69705.74,1362921,19.7,AGUA OXIGENADA/ PEROXIDO DE HIDROGENO,15.00863586,0.767607271
1,CME7712276S6,COLLOIDS DE MEXICO SA DE CV,,240,Nuevo Laredo Tamps.,1620,2001574,1,Normal,18/11/2022,NOVIB22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,91015,1,Kilogramos,812841,42116.11,733018,19.3,PEROXIDO DE HIDROGENO AL 70 (EKA HP T70) (USA),8.053815305,0.46273812
1,PME140128S96,PEROXYCHEM MEXICO S DE RL DE CV,INDUSTRIA COL. INDUSTRIAL CERRO GORDO SIN NUMERO9 55420 ECATEPEC DE MORELOS EM MEX,240,Nuevo Laredo Tamps.,3878,2017073,1,Normal,30/11/2022,NOVIB22,A1,Definitiva,USA,USA,USA,USA,2847000100,1,92623.486,1,Kilogramos,1370599,71015.49,1360361,19.3,AGUA OXIGENADA/ PEROXIDO DE HIDROGENO,14.6869985,0.76671148
